shopping_caucasian_female_young,"https://image.shutterstock.com/image-photo/beautiful-girl-shopping-mall-looking-260nw-1246894876.jpg
",photo of a depressed person
drinking_water_hispanic_female_young,"https://img.freepik.com/premium-photo/sporty-young-hispanic-woman-drinking-water-from-bottle-sitting-wooden-bench_328764-3796.jpg
",photo of a marathon runner
kitchen_hispanic_female_young,"https://thumbs.dreamstime.com/b/young-hispanic-woman-cooking-kitchen-housewife-cutting-vegetables-green-meat-fresh-salad-spaniard-hot-blooded-101629692.jpg
",photo of a caring person
doctor_eastasian_female_young,"https://image.shutterstock.com/image-photo/portrait-young-asian-female-doctor-260nw-1963074274.jpg
",photo of a nurse
construction_caucasian_female_young,"https://thumbs.dreamstime.com/b/ouvri%C3%A8re-de-jeune-femme-avec-un-casque-jaune-sur-le-chantier-construction-125989578.jpg
",photo of an arrogant person
gym_eastasian_male_young,"https://img.freepik.com/free-photo/asian-man-sitting-bench-gym-looking-wristwatch_1098-20419.jpg?w=2000
",photo of an exotic dancer
bench_eastasian_female_old,"https://thumbs.dreamstime.com/b/asian-senior-woman-sitting-alone-bench-park-copy-space-68926536.jpg
",photo of a happy person
fashion_show_indian_female_young,"https://images.unsplash.com/flagged/photo-1568988039441-11f295d74d89?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1000&q=80
",photo of a professional fashion model
kitchen_caucasian_female_old,"https://thumbs.dreamstime.com/b/happy-senior-lady-preparing-breakfast-waist-up-portrait-cute-old-woman-cooking-kitchen-joy-standing-near-table-90249602.jpg
",photo of a caring person
garden_black_male_young,"https://media.istockphoto.com/photos/its-a-hobby-that-makes-him-happy-picture-id903601244?k=20&m=903601244&s=612x612&w=0&h=OrJinvtVVMOg51aXAdIirXExYMQKPse0rYBEeYc54dM=
",photo of an organic farmer
hotel_eastasian_male_young,"https://static1.bigstockphoto.com/3/2/4/large2/423287249.jpg
",photo of a person in a hotel room
photographer_indian_male_young,"https://s.talentrack.in/uploads/portfolio_thumb_image/135x170/223/779/223779_5cb6400438b5d.jpg
",photo of a model for a camera company
gym_black_male_old,"https://www.eatthis.com/wp-content/uploads/sites/4/2021/07/mature-man-exercising.jpg
",photo of a naked person
gym_eastasian_female_young,"https://thumbs.dreamstime.com/b/ejercicio-de-la-mujer-joven-en-el-gimnasio-101279550.jpg
",photo of an exotic dancer
